2019-03-04T16:00:00.0/2019-03-04T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T16:15:00.0/2019-03-04T16:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T16:30:00.0/2019-03-04T16:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T16:45:00.0/2019-03-04T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T17:00:00.0/2019-03-04T17:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T17:15:00.0/2019-03-04T17:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T17:30:00.0/2019-03-04T17:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T17:45:00.0/2019-03-04T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T18:00:00.0/2019-03-04T18:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T18:15:00.0/2019-03-04T18:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T18:30:00.0/2019-03-04T18:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T18:45:00.0/2019-03-04T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T19:00:00.0/2019-03-04T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T19:15:00.0/2019-03-04T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T19:30:00.0/2019-03-04T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T19:45:00.0/2019-03-04T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T20:00:00.0/2019-03-04T20:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T20:15:00.0/2019-03-04T20:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T20:30:00.0/2019-03-04T20:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T20:45:00.0/2019-03-04T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T21:00:00.0/2019-03-04T21:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T21:15:00.0/2019-03-04T21:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T21:30:00.0/2019-03-04T21:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T21:45:00.0/2019-03-04T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T22:00:00.0/2019-03-04T22:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T22:15:00.0/2019-03-04T22:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T22:30:00.0/2019-03-04T22:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-04T22:45:00.0/2019-03-04T23:00:00.0;0.9275;0.1409;0.0001;0.1407;0.0000
2019-03-04T23:00:00.0/2019-03-04T23:15:00.0;14.6107;2.7110;0.0497;2.6613;0.9497
2019-03-04T23:15:00.0/2019-03-04T23:30:00.0;32.0553;7.1626;0.3725;6.7901;3.8693
2019-03-04T23:30:00.0/2019-03-04T23:45:00.0;49.2626;12.7202;1.1145;11.6057;7.7151
2019-03-04T23:45:00.0/2019-03-05T00:00:00.0;66.1590;19.2302;2.3426;16.8875;12.1658
2019-03-05T00:00:00.0/2019-03-05T00:15:00.0;82.6723;26.7163;4.1414;22.5749;17.2598
2019-03-05T00:15:00.0/2019-03-05T00:30:00.0;98.7316;35.1645;6.5867;28.5778;23.0264
2019-03-05T00:30:00.0/2019-03-05T00:45:00.0;114.2683;44.4424;9.7884;34.6540;29.5873
2019-03-05T00:45:00.0/2019-03-05T01:00:00.0;129.2158;54.4839;13.9067;40.5772;37.2013
2019-03-05T01:00:00.0/2019-03-05T01:15:00.0;143.5103;64.9628;18.7475;46.2153;45.1792
2019-03-05T01:15:00.0/2019-03-05T01:30:00.0;157.0903;75.6718;24.2201;51.4518;53.3415
2019-03-05T01:30:00.0/2019-03-05T01:45:00.0;169.8980;86.4163;30.2123;56.2039;61.5390
2019-03-05T01:45:00.0/2019-03-05T02:00:00.0;181.8785;97.0181;36.5976;60.4206;69.6481
2019-03-05T02:00:00.0/2019-03-05T02:15:00.0;192.9803;107.3498;43.2271;64.1227;77.5436
2019-03-05T02:15:00.0/2019-03-05T02:30:00.0;203.1562;117.3540;49.9283;67.4257;85.0875
2019-03-05T02:30:00.0/2019-03-05T02:45:00.0;212.3626;126.8405;56.7294;70.1111;92.4914
2019-03-05T02:45:00.0/2019-03-05T03:00:00.0;220.5599;136.0098;64.7813;71.2286;101.6949
2019-03-05T03:00:00.0/2019-03-05T03:15:00.0;227.7132;144.1285;72.2844;71.8441;109.9220
2019-03-05T03:15:00.0/2019-03-05T03:30:00.0;233.7919;151.0057;78.6579;72.3478;116.5085
2019-03-05T03:30:00.0/2019-03-05T03:45:00.0;238.7700;156.9583;84.5467;72.4116;122.6237
2019-03-05T03:45:00.0/2019-03-05T04:00:00.0;242.6262;161.9432;89.8681;72.0751;128.2728
2019-03-05T04:00:00.0/2019-03-05T04:15:00.0;245.3441;165.9266;94.5490;71.3775;133.4612
2019-03-05T04:15:00.0/2019-03-05T04:30:00.0;246.9120;168.8834;98.5256;70.3578;138.1928
2019-03-05T04:30:00.0/2019-03-05T04:45:00.0;247.3233;170.7965;101.7428;69.0537;142.4689
2019-03-05T04:45:00.0/2019-03-05T05:00:00.0;246.5764;171.6556;104.1537;67.5019;146.2873
2019-03-05T05:00:00.0/2019-03-05T05:15:00.0;244.6743;171.4571;105.7190;65.7380;149.6403
2019-03-05T05:15:00.0/2019-03-05T05:30:00.0;241.6255;170.2031;106.4069;63.7962;152.5141
2019-03-05T05:30:00.0/2019-03-05T05:45:00.0;237.4430;167.9012;106.1921;61.7091;154.8867
2019-03-05T05:45:00.0/2019-03-05T06:00:00.0;232.1447;164.6203;105.3823;59.2380;157.2159
2019-03-05T06:00:00.0/2019-03-05T06:15:00.0;225.7535;160.2694;104.0976;56.1718;159.6915
2019-03-05T06:15:00.0/2019-03-05T06:30:00.0;218.2968;154.7133;101.3459;53.3674;160.7790
2019-03-05T06:30:00.0/2019-03-05T06:45:00.0;209.8065;148.2335;97.7459;50.4876;161.3404
2019-03-05T06:45:00.0/2019-03-05T07:00:00.0;200.3192;140.8774;93.3239;47.5535;161.3336
2019-03-05T07:00:00.0/2019-03-05T07:15:00.0;189.8756;132.7122;88.1226;44.5896;160.7168
2019-03-05T07:15:00.0/2019-03-05T07:30:00.0;178.5204;123.7599;82.1574;41.6025;159.3621
2019-03-05T07:30:00.0/2019-03-05T07:45:00.0;166.3023;114.0730;75.4683;38.6046;157.1334
2019-03-05T07:45:00.0/2019-03-05T08:00:00.0;153.2739;103.7535;68.2757;35.4778;154.2379
2019-03-05T08:00:00.0/2019-03-05T08:15:00.0;139.4909;92.9622;60.9643;31.9978;151.3179
2019-03-05T08:15:00.0/2019-03-05T08:30:00.0;125.0126;81.6824;53.1427;28.5397;147.1592
2019-03-05T08:30:00.0/2019-03-05T08:45:00.0;109.9009;69.9933;44.8551;25.1382;141.2533
2019-03-05T08:45:00.0/2019-03-05T09:00:00.0;94.2206;58.0258;36.3002;21.7255;133.2955
2019-03-05T09:00:00.0/2019-03-05T09:15:00.0;78.0391;45.6796;27.3570;18.3225;121.0999
2019-03-05T09:15:00.0/2019-03-05T09:30:00.0;61.4258;33.1893;18.2267;14.9626;102.2723
2019-03-05T09:30:00.0/2019-03-05T09:45:00.0;44.4517;21.3751;10.1881;11.1871;78.5155
2019-03-05T09:45:00.0/2019-03-05T10:00:00.0;27.1898;10.8986;3.9692;6.9294;48.8021
2019-03-05T10:00:00.0/2019-03-05T10:15:00.0;9.7140;2.9197;0.5415;2.3782;13.1416
2019-03-05T10:15:00.0/2019-03-05T10:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T10:30:00.0/2019-03-05T10:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T10:45:00.0/2019-03-05T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:00:00.0/2019-03-05T11:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:15:00.0/2019-03-05T11:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:30:00.0/2019-03-05T11:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T11:45:00.0/2019-03-05T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:00:00.0/2019-03-05T12:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:15:00.0/2019-03-05T12:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:30:00.0/2019-03-05T12:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T12:45:00.0/2019-03-05T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:00:00.0/2019-03-05T13:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:15:00.0/2019-03-05T13:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:30:00.0/2019-03-05T13:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T13:45:00.0/2019-03-05T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:00:00.0/2019-03-05T14:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:15:00.0/2019-03-05T14:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:30:00.0/2019-03-05T14:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T14:45:00.0/2019-03-05T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:00:00.0/2019-03-05T15:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:15:00.0/2019-03-05T15:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:30:00.0/2019-03-05T15:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T15:45:00.0/2019-03-05T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:00:00.0/2019-03-05T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:15:00.0/2019-03-05T16:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:30:00.0/2019-03-05T16:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T16:45:00.0/2019-03-05T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:00:00.0/2019-03-05T17:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:15:00.0/2019-03-05T17:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:30:00.0/2019-03-05T17:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T17:45:00.0/2019-03-05T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:00:00.0/2019-03-05T18:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:15:00.0/2019-03-05T18:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:30:00.0/2019-03-05T18:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T18:45:00.0/2019-03-05T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:00:00.0/2019-03-05T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:15:00.0/2019-03-05T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:30:00.0/2019-03-05T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T19:45:00.0/2019-03-05T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T20:00:00.0/2019-03-05T20:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T20:15:00.0/2019-03-05T20:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T20:30:00.0/2019-03-05T20:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T20:45:00.0/2019-03-05T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T21:00:00.0/2019-03-05T21:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T21:15:00.0/2019-03-05T21:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T21:30:00.0/2019-03-05T21:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T21:45:00.0/2019-03-05T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T22:00:00.0/2019-03-05T22:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T22:15:00.0/2019-03-05T22:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T22:30:00.0/2019-03-05T22:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2019-03-05T22:45:00.0/2019-03-05T23:00:00.0;1.6071;0.4191;0.0414;0.3777;0.8711
2019-03-05T23:00:00.0/2019-03-05T23:15:00.0;16.3276;5.9696;2.0019;3.9678;38.0808
2019-03-05T23:15:00.0/2019-03-05T23:30:00.0;33.7731;16.0917;8.1965;7.8952;82.3666
2019-03-05T23:30:00.0/2019-03-05T23:45:00.0;50.9803;28.3122;17.2156;11.0966;116.0918
2019-03-05T23:45:00.0/2019-03-06T00:00:00.0;67.8754;41.5138;27.8565;13.6574;141.6191
2019-03-06T00:00:00.0/2019-03-06T00:15:00.0;84.3861;55.2118;39.5712;15.6406;162.0310
2019-03-06T00:15:00.0/2019-03-06T00:30:00.0;100.4418;69.0989;52.0124;17.0865;179.0603
2019-03-06T00:30:00.0/2019-03-06T00:45:00.0;115.9737;82.8678;64.7092;18.1586;193.0155
2019-03-06T00:45:00.0/2019-03-06T01:00:00.0;130.9153;96.3320;77.3588;18.9732;204.4595
2019-03-06T01:00:00.0/2019-03-06T01:15:00.0;145.2027;109.3633;89.7884;19.5749;213.9912
2019-03-06T01:15:00.0/2019-03-06T01:30:00.0;158.7747;121.8563;101.8596;19.9967;222.0294
2019-03-06T01:30:00.0/2019-03-06T01:45:00.0;171.5733;133.7223;113.4565;20.2658;228.8738
2019-03-06T01:45:00.0/2019-03-06T02:00:00.0;183.5436;144.8860;124.4810;20.4050;234.7459
2019-03-06T02:00:00.0/2019-03-06T02:15:00.0;194.6345;155.2869;134.8533;20.4336;239.8212
2019-03-06T02:15:00.0/2019-03-06T02:30:00.0;204.7984;164.8941;144.5261;20.3680;244.2721
2019-03-06T02:30:00.0/2019-03-06T02:45:00.0;213.9920;173.6368;153.4165;20.2203;248.1617
2019-03-06T02:45:00.0/2019-03-06T03:00:00.0;222.1757;181.4657;161.4650;20.0006;251.5625
2019-03-06T03:00:00.0/2019-03-06T03:15:00.0;229.3147;188.0903;167.9566;20.1337;253.5360
2019-03-06T03:15:00.0/2019-03-06T03:30:00.0;235.3785;193.4774;172.8359;20.6415;254.1800
2019-03-06T03:30:00.0/2019-03-06T03:45:00.0;240.3409;197.8511;176.7347;21.1164;254.5466
2019-03-06T03:45:00.0/2019-03-06T04:00:00.0;244.1810;201.1888;179.6316;21.5572;254.6494
2019-03-06T04:00:00.0/2019-03-06T04:15:00.0;246.8823;203.4733;181.5107;21.9626;254.4967
2019-03-06T04:15:00.0/2019-03-06T04:30:00.0;248.4333;204.6926;182.3617;22.3309;254.0924
2019-03-06T04:30:00.0/2019-03-06T04:45:00.0;248.8273;204.8404;182.1802;22.6602;253.4359
2019-03-06T04:45:00.0/2019-03-06T05:00:00.0;248.0628;203.9154;180.9672;22.9482;252.5226
2019-03-06T05:00:00.0/2019-03-06T05:15:00.0;246.1431;201.9219;178.7296;23.1923;251.3434
2019-03-06T05:15:00.0/2019-03-06T05:30:00.0;243.0764;198.8696;175.4800;23.3896;249.8845
2019-03-06T05:30:00.0/2019-03-06T05:45:00.0;238.8761;194.7733;171.2367;23.5366;248.1271
2019-03-06T05:45:00.0/2019-03-06T06:00:00.0;233.5601;189.6533;166.0239;23.6294;246.0463
2019-03-06T06:00:00.0/2019-03-06T06:15:00.0;227.1512;183.5782;159.9441;23.6340;243.7209
2019-03-06T06:15:00.0/2019-03-06T06:30:00.0;219.6771;176.5763;153.0294;23.5468;241.1141
2019-03-06T06:30:00.0/2019-03-06T06:45:00.0;211.1698;168.6391;145.2472;23.3919;238.0673
2019-03-06T06:45:00.0/2019-03-06T07:00:00.0;201.6658;159.8075;136.6457;23.1619;234.5183
2019-03-06T07:00:00.0/2019-03-06T07:15:00.0;191.2059;150.1280;127.2807;22.8473;230.3885
2019-03-06T07:15:00.0/2019-03-06T07:30:00.0;179.8349;139.6531;117.2165;22.4366;225.5780
2019-03-06T07:30:00.0/2019-03-06T07:45:00.0;167.6017;128.4425;106.5272;21.9153;219.9585
2019-03-06T07:45:00.0/2019-03-06T08:00:00.0;154.5588;116.5646;95.2985;21.2661;213.3624
2019-03-06T08:00:00.0/2019-03-06T08:15:00.0;140.7620;104.0984;83.6297;20.4687;205.5669
2019-03-06T08:15:00.0/2019-03-06T08:30:00.0;126.2706;91.1431;71.6658;19.4773;196.3443
2019-03-06T08:30:00.0/2019-03-06T08:45:00.0;111.1467;77.8094;59.5393;18.2701;185.2676
2019-03-06T08:45:00.0/2019-03-06T09:00:00.0;95.4551;64.2310;47.4109;16.8200;171.6998
2019-03-06T09:00:00.0/2019-03-06T09:15:00.0;79.2633;50.6481;35.6266;15.0215;155.2580
